m/z	intensity
819.89419	172.392
819.911209	172.157
819.928229	168.235
819.945248	163.529
819.962268	159.608
819.979287	157.647
819.996307	158.667
820.013327	163.294
820.030348	159.922
820.047368	159.529
820.064389	157.098
820.08141	163.216
820.098431	165.02
820.115452	160.941
820.132473	153.49
820.149495	157.412
820.166517	169.02
820.183539	186.824
820.200561	205.49
820.217583	227.059
820.234605	244.471
820.251628	269.412
820.268651	297.647
820.285674	332.863
820.302697	373.255
820.31972	414.51
820.336744	453.176
820.353767	481.647
820.370791	516.549
820.387815	555.373
820.40484	572.627
820.421864	588.549
820.438888	625.882
820.455913	682.431
820.472938	775.137
820.489963	926.431
820.506988	1147.22
820.524014	1404.94
820.54104	1627.37
820.558065	1777.65
820.575091	1783.37
820.592117	1632.24
820.609144	1349.65
820.62617	1020
820.643197	728.941
820.660224	566.431
820.677251	504.863
820.694278	496.078
820.711305	468.706
820.728333	434.118
820.745361	376
820.762389	345.804
820.779417	331.373
820.796445	310.902
820.813474	276
820.830502	254.667
820.847531	235.216
820.86456	210.039
820.881589	187.216
820.898618	173.098
820.915648	181.882
820.932678	195.922
820.949707	199.294
820.966737	188.235
820.983768	171.843
821.000798	165.098
821.017829	178.98
821.034859	191.294
821.05189	182.667
821.068921	163.137
821.085953	155.137
821.102984	164.314
821.120016	181.412
821.137048	176.078
821.15408	162.824
821.171112	176.627
821.188144	200
821.205177	218.51
821.222209	229.49
821.239242	259.922
821.256275	318.824
821.273308	392.314
821.290342	462.118
821.307375	512.078
821.324409	533.647
821.341443	555.922
821.358477	588.157
821.375511	620.235
821.392546	635.608
821.40958	647.608
821.426615	658.98
821.44365	687.059
821.460685	721.569
821.477721	785.02
821.494756	893.02
821.511792	1022.75
821.528828	1147.37
821.545864	1305.02
821.5629	1412.08
821.579936	1370.59
821.596973	1193.1
821.61401	963.686
821.631047	748.863
821.648084	590.039
821.665121	484.706
821.682159	414.431
821.699196	374.039
821.716234	362.667
821.733272	352
821.75031	320.784
821.767348	292.941
821.784387	277.176
821.801426	267.216
821.818465	255.137
821.835504	250.118
821.852543	239.608
821.869582	218.98
